sat,tothrs,colgpa,athlete,hsize,hsrank,hsperc,female
1010,17,2.8800001,0,4.6300001,68,14.68682,0
750,16,2.75,0,2.25,48,21.33333,0
950,44,2.6800001,0,.44,11,25,1
750,52,1.88,1,4.1199999,178,43.20388,0
1060,48,3.4300001,0,.87,16,18.3908,1
990,12,.25,0,4.75,142,29.894739,1
1360,84,3.95,0,4.1100001,13,3.163017,0
1080,17,1.8200001,0,3.8599999,33,8.5492229,1
890,13,2.46,0,3.8599999,139,36.010361,1
1180,113,2.0999999,0,3.5599999,34,9.5505619,0
1120,13,2.23,0,1.37,20,14.59854,1
990,133,2.96,0,1.1799999,23,19.491529,0
1100,51,2.0699999,0,.1,2,20,0
1150,17,3.4100001,0,4,11,2.75,0
970,71,1.98,1,.1,4,40,0
950,76,2.71,0,3.5,54,15.42857,1
960,17,2.52,0,.1,6,60,0
1220,18,3.22,0,4,3,.75,1
930,44,2.1300001,0,.94999999,24,25.263161,0
1350,17,3.6400001,0,.91000003,13,14.28571,0
1280,109,3.48,0,.91000003,4,4.3956051,0
1020,18,2.6600001,0,.75,29,38.666672,0
940,17,2.5799999,0,1.01,1,.99009901,1
1160,15,3.1300001,0,5.1900001,30,5.7803469,0
1020,108,3.24,1,4.5,39,8.666667,1
850,18,2,0,5.1599998,132,25.5814,1
1260,83,2.5,0,4,157,39.25,0
890,14,1.14,0,5.1599998,321,62.209301,1
940,19,1.63,0,5.1900001,135,26.01156,1
1160,79,3.0599999,0,4,60,15,0
1040,45,2.26,0,4.3000002,186,43.25581,0
1010,114,2.8800001,0,4.3299999,60,13.85681,1
1070,16,2.8699999,0,5.1900001,36,6.9364161,1
1160,74,3.1199999,0,2.53,44,17.3913,1
1040,20,2.75,0,1.34,2,1.492537,1
1060,17,3.1700001,0,.1,2,20,1
900,15,2.73,1,.1,5,50,0
910,17,1.64,0,.1,4,40,1
1130,48,3.4100001,0,.1,2,20,1
1000,13,2.76,0,1.02,12,11.76471,1
890,14,2.4200001,0,.1,4,40,1
1030,13,1.6900001,0,2.04,12,5.8823528,1
1190,115,3.26,0,.1,1,10,1
1150,55,3.1600001,0,4.5,9,2,0
1290,15,3.53,0,3.75,2,.53333342,0
1180,117,3.48,0,1.42,6,4.2253518,0
1220,44,2.0599999,0,4.23,64,15.13002,0
1100,17,2.1700001,0,.41999999,3,7.1428571,0
1030,115,2.54,0,1.5,25,16.66667,1
960,15,3.1300001,0,.31999999,3,9.375,1
1080,16,3.4300001,0,2.1099999,39,18.48341,1
980,45,1.97,1,5.6799998,384,67.605637,0
880,15,1.6,0,6.2399998,80,12.82051,1
1090,47,2.8,0,4.1199999,34,8.2524271,0
800,23,2.0799999,0,6.48,307,47.376541,1
960,83,1.8,0,5.0799999,91,17.913389,0
1100,45,2.8599999,0,7.0300002,346,49.21764,0
870,49,2.71,0,1.27,35,27.559059,1
960,73,2.1199999,0,5.1100001,84,16.43836,0
870,49,2.4400001,1,2.27,27,11.89427,1
